[ RUN      ] BootstrapTest.FileSharing
[2025-01-28 16:28:48.183290] [0x00007f67aa468d80] [info]    Initializing Bootstrap with ID: 1
[2025-01-28 16:28:48.183300] [0x00007f67aa468d80] [debug]   Bootstrap program: Channel created successfully
[2025-01-28 16:28:48.183306] [0x00007f67aa468d80] [info]    Initializing TCP server  on 127.0.0.1:3001
[2025-01-28 16:28:48.183314] [0x00007f67aa468d80] [debug]   Bootstrap program: TCP Server created successfully
[2025-01-28 16:28:48.183318] [0x00007f67aa468d80] [info]    PeerManager initialized with key size: 32 bytes
[2025-01-28 16:28:48.183325] [0x00007f67aa468d80] [debug]   Bootstrap program: Peer Manager created successfully
[2025-01-28 16:28:48.183329] [0x00007f67aa468d80] [info]    PeerManager set for TCP server 
[2025-01-28 16:28:48.183337] [0x00007f67aa468d80] [info]    Initializing FileServer with ID: 1
[2025-01-28 16:28:48.183346] [0x00007f67aa468d80] [info]    Initializing Store with base path: fileserver_1
[2025-01-28 16:28:48.183359] [0x00007f67aa468d80] [debug]   Store directory created/verified at: fileserver_1
[2025-01-28 16:28:48.183368] [0x00007f67aa468d80] [info]    Initializing Codec with key of size: 32
[2025-01-28 16:28:48.183375] [0x00007f67aa468d80] [info]    FileServer initialization complete
[2025-01-28 16:28:48.183379] [0x00007f67aa468d80] [debug]   Bootstrap program: File Server created successfully
[2025-01-28 16:28:48.183385] [0x00007f67aa468d80] [info]    Bootstrap program: Successfully created all components
[2025-01-28 16:28:48.183394] [0x00007f67aa468d80] [info]    Initializing Bootstrap with ID: 2
[2025-01-28 16:28:48.183400] [0x00007f67aa468d80] [debug]   Bootstrap program: Channel created successfully
[2025-01-28 16:28:48.183404] [0x00007f67aa468d80] [info]    Initializing TCP server  on 127.0.0.1:3002
[2025-01-28 16:28:48.183411] [0x00007f67aa468d80] [debug]   Bootstrap program: TCP Server created successfully
[2025-01-28 16:28:48.183415] [0x00007f67aa468d80] [info]    PeerManager initialized with key size: 32 bytes
[2025-01-28 16:28:48.183421] [0x00007f67aa468d80] [debug]   Bootstrap program: Peer Manager created successfully
[2025-01-28 16:28:48.183424] [0x00007f67aa468d80] [info]    PeerManager set for TCP server 
[2025-01-28 16:28:48.183432] [0x00007f67aa468d80] [info]    Initializing FileServer with ID: 2
[2025-01-28 16:28:48.183435] [0x00007f67aa468d80] [info]    Initializing Store with base path: fileserver_2
[2025-01-28 16:28:48.183445] [0x00007f67aa468d80] [debug]   Store directory created/verified at: fileserver_2
[2025-01-28 16:28:48.183453] [0x00007f67aa468d80] [info]    Initializing Codec with key of size: 32
[2025-01-28 16:28:48.183456] [0x00007f67aa468d80] [info]    FileServer initialization complete
[2025-01-28 16:28:48.183463] [0x00007f67aa468d80] [debug]   Bootstrap program: File Server created successfully
[2025-01-28 16:28:48.183465] [0x00007f67aa468d80] [info]    Bootstrap program: Successfully created all components
[2025-01-28 16:28:48.183539] [0x00007f67a3fff6c0] [debug]   Endpoint created
[2025-01-28 16:28:48.183549] [0x00007f67a3fff6c0] [debug]   Acceptor created
[2025-01-28 16:28:48.184116] [0x00007f67a3fff6c0] [debug]   Starting to accept connections
[2025-01-28 16:28:48.184125] [0x00007f67a3fff6c0] [debug]   Creating new socket for incoming connection
[2025-01-28 16:28:48.184139] [0x00007f67a3fff6c0] [debug]   Starting IO context
[2025-01-28 16:28:48.184169] [0x00007f67a3fff6c0] [info]    Server started successfully on 127.0.0.1:3001
[2025-01-28 16:28:48.184176] [0x00007f67a3fff6c0] [info]    Bootstrap program: Bootstrap successfully started
[2025-01-28 16:28:49.183668] [0x00007f67a37fe6c0] [debug]   Endpoint created
[2025-01-28 16:28:49.183691] [0x00007f67a37fe6c0] [debug]   Acceptor created
[2025-01-28 16:28:49.184434] [0x00007f67a37fe6c0] [debug]   Starting to accept connections
[2025-01-28 16:28:49.184450] [0x00007f67a37fe6c0] [debug]   Creating new socket for incoming connection
[2025-01-28 16:28:49.184486] [0x00007f67a37fe6c0] [debug]   Starting IO context
[2025-01-28 16:28:49.184521] [0x00007f67a37fe6c0] [info]    Server started successfully on 127.0.0.1:3002
[2025-01-28 16:28:49.184683] [0x00007f67a37fe6c0] [info]    Bootstrap program: Connecting to bootstrap nodes...
[2025-01-28 16:28:49.184699] [0x00007f67a37fe6c0] [info]    Resolving address to endpoints
[2025-01-28 16:28:49.184713] [0x00007f67a37fe6c0] [info]    Attempting to connect to 127.0.0.1:3001
[2025-01-28 16:28:49.184885] [0x00007f67a37fe6c0] [info]    Successfully connected to 127.0.0.1:3001
[2025-01-28 16:28:49.184897] [0x00007f67a37fe6c0] [debug]   Initiating handshake request
[2025-01-28 16:28:49.184902] [0x00007f67a37fe6c0] [debug]   Starting to send ID
[2025-01-28 16:28:49.184931] [0x00007f67a37fe6c0] [info]    Sent ID: 2
[2025-01-28 16:28:49.184941] [0x00007f67a37fe6c0] [debug]   Starting to read ID
[2025-01-28 16:28:49.184977] [0x00007f67aa4626c0] [debug]   Calling receive_handshake for incoming connection
[2025-01-28 16:28:49.184994] [0x00007f67aa4626c0] [debug]   Receiving handshake request
[2025-01-28 16:28:49.185012] [0x00007f67aa4626c0] [debug]   Starting to read ID
[2025-01-28 16:28:49.185026] [0x00007f67aa4626c0] [info]    Received ID: 2
[2025-01-28 16:28:49.185031] [0x00007f67aa4626c0] [debug]   Preparing to send ID back to peer: 1
[2025-01-28 16:28:49.185034] [0x00007f67aa4626c0] [debug]   Starting to send ID
[2025-01-28 16:28:49.185080] [0x00007f67aa4626c0] [info]    Sent ID: 1
[2025-01-28 16:28:49.185090] [0x00007f67aa4626c0] [debug]   Successfully sent ID back to peer
