[ RUN      ] BootstrapTest.FileSharing
[2025-01-28 21:46:26.899098] [0x00007f88cde61d80] [info]    Initializing Bootstrap with ID: 1
[2025-01-28 21:46:26.899105] [0x00007f88cde61d80] [debug]   Bootstrap program: Channel created successfully
[2025-01-28 21:46:26.899111] [0x00007f88cde61d80] [info]    Initializing TCP server  on 127.0.0.1:3001
[2025-01-28 21:46:26.899117] [0x00007f88cde61d80] [debug]   Bootstrap program: TCP Server created successfully
[2025-01-28 21:46:26.899121] [0x00007f88cde61d80] [info]    PeerManager initialized with key size: 32 bytes
[2025-01-28 21:46:26.899127] [0x00007f88cde61d80] [debug]   Bootstrap program: Peer Manager created successfully
[2025-01-28 21:46:26.899131] [0x00007f88cde61d80] [info]    PeerManager set for TCP server 
[2025-01-28 21:46:26.899137] [0x00007f88cde61d80] [info]    Initializing FileServer with ID: 1
[2025-01-28 21:46:26.899144] [0x00007f88cde61d80] [info]    Initializing Store with base path: fileserver_1
[2025-01-28 21:46:26.899155] [0x00007f88cde61d80] [debug]   Store directory created/verified at: fileserver_1
[2025-01-28 21:46:26.899162] [0x00007f88cde61d80] [info]    Initializing Codec with key of size: 32
[2025-01-28 21:46:26.899169] [0x00007f88cde61d80] [info]    FileServer initialization complete
[2025-01-28 21:46:26.899173] [0x00007f88cde61d80] [debug]   Bootstrap program: File Server created successfully
[2025-01-28 21:46:26.899178] [0x00007f88cde61d80] [info]    Bootstrap program: Successfully created all components
[2025-01-28 21:46:26.899183] [0x00007f88cde61d80] [info]    Initializing Bootstrap with ID: 2
[2025-01-28 21:46:26.899188] [0x00007f88cde61d80] [debug]   Bootstrap program: Channel created successfully
[2025-01-28 21:46:26.899193] [0x00007f88cde61d80] [info]    Initializing TCP server  on 127.0.0.1:3002
[2025-01-28 21:46:26.899198] [0x00007f88cde61d80] [debug]   Bootstrap program: TCP Server created successfully
[2025-01-28 21:46:26.899202] [0x00007f88cde61d80] [info]    PeerManager initialized with key size: 32 bytes
[2025-01-28 21:46:26.899208] [0x00007f88cde61d80] [debug]   Bootstrap program: Peer Manager created successfully
[2025-01-28 21:46:26.899212] [0x00007f88cde61d80] [info]    PeerManager set for TCP server 
[2025-01-28 21:46:26.899217] [0x00007f88cde61d80] [info]    Initializing FileServer with ID: 2
[2025-01-28 21:46:26.899225] [0x00007f88cde61d80] [info]    Initializing Store with base path: fileserver_2
[2025-01-28 21:46:26.899233] [0x00007f88cde61d80] [debug]   Store directory created/verified at: fileserver_2
[2025-01-28 21:46:26.899240] [0x00007f88cde61d80] [info]    Initializing Codec with key of size: 32
[2025-01-28 21:46:26.899248] [0x00007f88cde61d80] [info]    FileServer initialization complete
[2025-01-28 21:46:26.899253] [0x00007f88cde61d80] [debug]   Bootstrap program: File Server created successfully
[2025-01-28 21:46:26.899255] [0x00007f88cde61d80] [info]    Bootstrap program: Successfully created all components
[2025-01-28 21:46:26.899305] [0x00007f88c77fe6c0] [debug]   Endpoint created
[2025-01-28 21:46:26.899316] [0x00007f88c77fe6c0] [debug]   Acceptor created
[2025-01-28 21:46:26.899988] [0x00007f88c77fe6c0] [debug]   Starting to accept connections
[2025-01-28 21:46:26.899998] [0x00007f88c77fe6c0] [debug]   Creating new socket for incoming connection
[2025-01-28 21:46:26.900010] [0x00007f88c77fe6c0] [debug]   Starting IO context
[2025-01-28 21:46:26.900055] [0x00007f88c77fe6c0] [info]    Server started successfully on 127.0.0.1:3001
[2025-01-28 21:46:26.900063] [0x00007f88c77fe6c0] [info]    Bootstrap program: Bootstrap successfully started
[2025-01-28 21:46:27.899434] [0x00007f88c6ffd6c0] [debug]   Endpoint created
[2025-01-28 21:46:27.899451] [0x00007f88c6ffd6c0] [debug]   Acceptor created
[2025-01-28 21:46:27.899931] [0x00007f88c6ffd6c0] [debug]   Starting to accept connections
[2025-01-28 21:46:27.899950] [0x00007f88c6ffd6c0] [debug]   Creating new socket for incoming connection
[2025-01-28 21:46:27.899968] [0x00007f88c6ffd6c0] [debug]   Starting IO context
[2025-01-28 21:46:27.900003] [0x00007f88c6ffd6c0] [info]    Server started successfully on 127.0.0.1:3002
[2025-01-28 21:46:27.900008] [0x00007f88c6ffd6c0] [info]    Bootstrap program: Connecting to bootstrap nodes...
[2025-01-28 21:46:27.900012] [0x00007f88c6ffd6c0] [info]    Resolving address to endpoints
[2025-01-28 21:46:27.900021] [0x00007f88c6ffd6c0] [info]    Attempting to connect to 127.0.0.1:3001
[2025-01-28 21:46:27.900106] [0x00007f88c6ffd6c0] [info]    Successfully connected to 127.0.0.1:3001
[2025-01-28 21:46:27.900114] [0x00007f88c6ffd6c0] [debug]   Initiating handshake request
